Sample_No,Date,Sample_Point,Town,Measure,Result,Units
676804,2017-02-16,SO_10696,Southwold,E. coli,0,Orgs/100mL
663764,2017-02-16,SW_11069,Swadlincote,E. coli,0,Orgs/100mL
635286,2017-02-16,SW_11069,Swadlincote,Turbidity,0.1,NTU
672385,2018-09-06,BL_14594,Blancathey,Turbidity,0.2,NTU
609702,2018-09-06,TA_13563,Tarnstead,Turbidity,0.2,NTU
652458,2018-09-06,SN_14788,Snake's Canyon,Turbidity,0.2,NTU
695172,2018-09-06,TA_13563,Tarnstead,THM,0.011,mg/L
622445,2018-09-06,ST_17872,Strathmore,Turbidity,0.2,NTU
653969,2018-09-06,PO_16767,Pontybridge,THM,0.054,mg/L
614771,2018-08-16,SO_14280,Southwold,Turbidity,0.1,NTU
634039,2018-08-15,WA_17412,Wakefield,THM,0.015,mg/L
602595,2018-08-16,ME_15547,Merton,Turbidity,0.1,NTU
689719,2017-11-09,SW_18453,Swadlincote,Turbidity,0.1,NTU
611817,2018-08-16,TA_13563,Tarnstead,Turbidity,0.2,NTU
665711,2018-08-16,ST_15632,Strathmore,E. coli,0,Orgs/100mL
601257,2018-12-31,PA_14918,Paethsmouth,Turbidity,0.2,NTU
665740,2018-12-24,PO_16767,Pontybridge,Turbidity,0.2,NTU
637562,2018-12-27,ME_14145,Merton,E. coli,0,Orgs/100mL
657134,2018-12-24,SO_14753,Southwold,E. coli,0,Orgs/100mL
678650,2018-12-24,ME_19289,Merton,E. coli,0,Orgs/100mL
628931,2018-12-24,ME_19289,Merton,Turbidity,0.3,NTU
678845,2018-07-19,ST_18680,Strathmore,E. coli,0,Orgs/100mL
618503,2018-07-19,SO_14953,Southwold,E. coli,0,Orgs/100mL
693110,2018-07-19,BL_13006,Blancathey,Turbidity,0.1,NTU
619071,2018-07-19,SO_14953,Southwold,Turbidity,0.2,NTU
696501,2018-08-16,TA_13563,Tarnstead,E. coli,0,Orgs/100mL
684478,2018-08-13,PA_15033,Paethsmouth,Turbidity,0.2,NTU
642493,2018-07-23,PA_19973,Paethsmouth,Turbidity,0.2,NTU
653286,2018-06-28,PO_16870,Pontybridge,Turbidity,0.05,NTU
628574,2018-06-28,SN_14788,Snake's Canyon,Turbidity,0.2,NTU
660482,2017-06-29,ME_16215,Merton,Turbidity,0.05,NTU
688760,2017-06-29,ST_19479,Strathmore,Turbidity,0.05,NTU
676199,2017-12-22,SO_14953,Southwold,Turbidity,0.2,NTU
640083,2017-12-22,ST_16944,Strathmore,E. coli,0,Orgs/100mL
611222,2017-12-22,ST_16944,Strathmore,Turbidity,0.2,NTU
607779,2017-12-27,PA_15033,Paethsmouth,E. coli,0,Orgs/100mL
698592,2017-06-30,BE_13422,Bellmoral,Turbidity,0.3,NTU
623464,2017-06-30,SW_11069,Swadlincote,Turbidity,0.2,NTU
602967,2017-07-06,ST_11113,Strathmore,E. coli,0,Orgs/100mL
663168,2017-07-06,ME_10188,Merton,E. coli,0,Orgs/100mL
658554,2017-07-06,ME_15845,Merton,E. coli,0,Orgs/100mL
651120,2017-12-27,TA_13563,Tarnstead,E. coli,0,Orgs/100mL
601223,2017-01-19,ME_17256,Merton,Turbidity,0.2,NTU
664555,2017-01-19,SO_14280,Southwold,E. coli,0,Orgs/100mL
648452,2017-01-19,ST_17872,Strathmore,Turbidity,0.2,NTU
668773,2017-01-19,BL_14594,Blancathey,Turbidity,0.2,NTU
624972,2017-01-06,SW_18483,Swadlincote,E. coli,0,Orgs/100mL
677453,2017-01-05,WA_18008,Wakefield,Turbidity,0.2,NTU
697580,2017-01-04,SN_15690,Snake's Canyon,Turbidity,0.1,NTU
641161,2017-01-19,SO_14753,Southwold,E. coli,0,Orgs/100mL
615735,2017-01-19,BL_14594,Blancathey,E. coli,0,Orgs/100mL
610836,2017-01-12,SN_14943,Snake's Canyon,Turbidity,0.2,NTU
687588,2017-01-11,WA_18499,Wakefield,E. coli,0,Orgs/100mL
600697,2017-06-09,BL_14594,Blancathey,E. coli,0,Orgs/100mL
686049,2017-01-18,WA_10025,Wakefield,THM,0.009,mg/L
677235,2017-01-19,ST_17872,Strathmore,THM,0.01,mg/L
639591,2017-05-22,PA_17652,Paethsmouth,E. coli,0,Orgs/100mL
618931,2017-05-22,PA_17652,Paethsmouth,THM,0.005,mg/L
622442,2017-01-19,BL_14594,Blancathey,THM,0.057,mg/L
642329,2017-01-23,PA_10485,Paethsmouth,E. coli,0,Orgs/100mL
645192,2017-02-15,WA_17412,Wakefield,E. coli,0,Orgs/100mL
618353,2017-01-19,TA_12407,Tarnstead,E. coli,0,Orgs/100mL
691229,2017-01-19,ME_11496,Merton,E. coli,0,Orgs/100mL
645358,2017-01-18,WA_10025,Wakefield,E. coli,0,Orgs/100mL
633702,2017-05-16,PA_15033,Paethsmouth,Turbidity,0.2,NTU
644107,2017-02-15,WA_17412,Wakefield,Turbidity,0.2,NTU
671117,2017-02-16,BL_14594,Blancathey,E. coli,0,Orgs/100mL
648856,2017-02-16,TA_12407,Tarnstead,E. coli,0,Orgs/100mL
661558,2017-02-16,BE_15094,Bellmoral,E. coli,0,Orgs/100mL
649174,2017-02-16,ME_11992,Merton,E. coli,0,Orgs/100mL
683591,2017-02-16,PO_10333,Pontybridge,E. coli,0,Orgs/100mL
685713,2017-02-16,ST_16875,Strathmore,Turbidity,5.72,NTU
656475,2017-02-06,PA_11116,Paethsmouth,E. coli,0,Orgs/100mL
642427,2017-04-13,BE_13507,Bellmoral,THM,0.004,mg/L
636030,2017-04-13,ME_19934,Merton,THM,0.7145,mg/L
652599,2017-04-21,SO_19853,Southwold,E. coli,0,Orgs/100mL
674205,2017-02-09,PO_16870,Pontybridge,E. coli,0,Orgs/100mL
676643,2017-02-09,BL_13006,Blancathey,E. coli,0,Orgs/100mL
613803,2017-11-09,BE_18768,Bellmoral,Turbidity,0.2,NTU
600407,2017-05-18,SO_11580,Southwold,Turbidity,0.1,NTU
641005,2017-05-18,ST_18354,Strathmore,THM,0.005,mg/L
643457,2017-06-22,SW_15649,Swadlincote,THM,0.003,mg/L
653304,2017-06-23,ME_18009,Merton,E. coli,0,Orgs/100mL
645465,2017-02-09,ME_19866,Merton,THM,0.008,mg/L
654425,2017-03-30,SO_14753,Southwold,Turbidity,0.2,NTU
640112,2017-03-30,BE_16635,Bellmoral,Turbidity,0.2,NTU
623577,2017-03-30,ST_17872,Strathmore,E. coli,0,Orgs/100mL
618519,2017-05-18,ME_19548,Merton,Turbidity,0.1,NTU
610579,2017-05-18,SW_10279,Swadlincote,Turbidity,0.1,NTU
669029,2017-05-18,PO_16870,Pontybridge,Turbidity,0.1,NTU
658098,2017-05-18,SN_14788,Snake's Canyon,Turbidity,0.1,NTU
619427,2017-05-18,BL_14594,Blancathey,THM,0.044,mg/L
639924,2017-02-01,WA_13324,Wakefield,E. coli,0,Orgs/100mL
612961,2017-02-02,SO_12799,Southwold,E. coli,0,Orgs/100mL
621688,2017-02-02,BL_11946,Blancathey,Turbidity,0.2,NTU
635368,2017-05-18,BE_15310,Bellmoral,Turbidity,0.1,NTU
634687,2017-02-02,SN_14943,Snake's Canyon,E. coli,0,Orgs/100mL
667194,2017-02-02,SW_10554,Swadlincote,E. coli,0,Orgs/100mL
621601,2017-02-02,SN_14943,Snake's Canyon,Turbidity,0.2,NTU
644897,2017-02-02,PO_10936,Pontybridge,E. coli,0,Orgs/100mL
654387,2017-02-02,ST_16875,Strathmore,Turbidity,8.25,NTU
632851,2017-02-02,ST_19479,Strathmore,E. coli,0,Orgs/100mL
639478,2017-02-02,ME_19934,Merton,Turbidity,0.3,NTU
649185,2017-02-02,SW_10554,Swadlincote,Turbidity,0.3,NTU
620077,2017-02-02,SO_12799,Southwold,Turbidity,0.2,NTU
677432,2017-02-02,ME_19919,Merton,E. coli,0,Orgs/100mL
662840,2017-01-06,SW_18483,Swadlincote,Turbidity,0.2,NTU
617955,2017-01-09,PA_11469,Paethsmouth,Turbidity,0.2,NTU
652992,2017-01-06,PO_16870,Pontybridge,Turbidity,0.1,NTU
646079,2017-01-19,ME_17256,Merton,E. coli,0,Orgs/100mL
621947,2017-01-12,ME_17891,Merton,E. coli,0,Orgs/100mL
678592,2017-01-12,TA_12934,Tarnstead,E. coli,0,Orgs/100mL
666526,2017-01-12,SW_10279,Swadlincote,E. coli,0,Orgs/100mL
680273,2017-01-12,PO_10333,Pontybridge,Turbidity,0.2,NTU
624538,2017-01-12,BE_12742,Bellmoral,E. coli,0,Orgs/100mL
616144,2017-01-12,BE_12742,Bellmoral,THM,0.007,mg/L
633857,2017-01-12,BL_11946,Blancathey,E. coli,0,Orgs/100mL
675155,2017-01-12,PO_10333,Pontybridge,E. coli,0,Orgs/100mL
669226,2017-02-09,ME_19866,Merton,Turbidity,0.2,NTU
691931,2017-02-09,SW_12557,Swadlincote,Turbidity,0.2,NTU
607592,2017-02-08,WA_15184,Wakefield,Turbidity,0.2,NTU
647940,2017-02-09,BE_13507,Bellmoral,E. coli,0,Orgs/100mL
606867,2017-02-09,ST_11113,Strathmore,E. coli,0,Orgs/100mL
659963,2017-02-09,SN_14788,Snake's Canyon,Turbidity,0.2,NTU
630517,2017-02-09,ME_18009,Merton,E. coli,0,Orgs/100mL
609715,2017-02-09,ST_11855,Strathmore,E. coli,0,Orgs/100mL
682082,2017-02-09,BE_13507,Bellmoral,THM,0.006,mg/L
656115,2017-02-09,SO_19426,Southwold,THM,0.006,mg/L
652414,2017-02-13,PA_19973,Paethsmouth,E. coli,0,Orgs/100mL
659231,2017-01-27,TA_11822,Tarnstead,THM,0.005,mg/L
605326,2017-02-02,TA_11822,Tarnstead,E. coli,0,Orgs/100mL
620947,2017-08-23,WA_18008,Wakefield,Turbidity,0.1,NTU
665529,2017-08-24,BE_15094,Bellmoral,Turbidity,0.2,NTU
663428,2017-08-24,SN_14788,Snake's Canyon,Turbidity,0.2,NTU
687711,2017-08-24,ST_17872,Strathmore,Turbidity,0.2,NTU
675030,2017-08-24,BL_14330,Blancathey,Turbidity,0.1,NTU
654893,2017-08-24,PO_10333,Pontybridge,Turbidity,0.2,NTU
610931,2017-08-30,WA_13324,Wakefield,Turbidity,0.1,NTU
666200,2017-08-31,SW_11069,Swadlincote,E. coli,0,Orgs/100mL
676797,2017-08-31,BE_13422,Bellmoral,E. coli,0,Orgs/100mL
632303,2017-08-31,BE_13422,Bellmoral,Turbidity,0.1,NTU
661852,2017-08-09,WA_12904,Wakefield,Turbidity,0.05,NTU
652282,2017-08-11,ME_12675,Merton,E. coli,0,Orgs/100mL
624845,2017-08-11,ME_12675,Merton,Turbidity,0.3,NTU
656768,2017-08-10,BE_16639,Bellmoral,Turbidity,0.05,NTU
692268,2017-08-31,ME_16507,Merton,E. coli,0,Orgs/100mL
658717,2017-08-31,ST_13895,Strathmore,E. coli,0,Orgs/100mL
698623,2017-08-31,SW_11069,Swadlincote,Turbidity,0.2,NTU
644519,2017-08-11,SO_14753,Southwold,E. coli,0,Orgs/100mL
625937,2017-08-11,ME_14356,Merton,E. coli,0,Orgs/100mL
637615,2017-08-24,ME_18009,Merton,Turbidity,0.1,NTU
685545,2017-07-20,SN_14943,Snake's Canyon,THM,0.034,mg/L
667523,2017-02-20,PA_14918,Paethsmouth,Turbidity,0.2,NTU
635746,2017-12-27,PA_15033,Paethsmouth,Turbidity,0.2,NTU
602649,2017-12-27,ST_13051,Strathmore,Turbidity,0.2,NTU
612641,2017-01-19,ST_17872,Strathmore,E. coli,0,Orgs/100mL
687201,2017-01-19,SW_17925,Swadlincote,Turbidity,0.3,NTU
688995,2017-01-19,BE_15310,Bellmoral,Turbidity,0.2,NTU
691971,2017-02-02,BL_11946,Blancathey,E. coli,0,Orgs/100mL
603459,2017-02-16,ME_10188,Merton,E. coli,0,Orgs/100mL
694874,2017-02-16,SO_13517,Southwold,E. coli,0,Orgs/100mL
679720,2017-02-16,SN_15690,Snake's Canyon,E. coli,0,Orgs/100mL
659665,2017-02-16,ST_18680,Strathmore,E. coli,0,Orgs/100mL
676500,2017-04-13,SO_18754,Southwold,THM,0.004,mg/L
625899,2017-04-21,ME_16215,Merton,E. coli,0,Orgs/100mL
681173,2017-02-09,TA_13563,Tarnstead,E. coli,0,Orgs/100mL
680642,2017-07-14,ST_18680,Strathmore,E. coli,0,Orgs/100mL
644611,2017-07-14,SO_10696,Southwold,E. coli,0,Orgs/100mL
633213,2017-07-14,ME_14145,Merton,E. coli,0,Orgs/100mL
691639,2017-01-27,PO_16509,Pontybridge,THM,0.057,mg/L
632125,2017-01-27,SW_11438,Swadlincote,THM,0.008,mg/L
633368,2017-01-30,PA_12021,Paethsmouth,Turbidity,0.2,NTU
639981,2017-02-02,TA_11822,Tarnstead,Turbidity,0.2,NTU
673304,2017-06-16,SO_14280,Southwold,E. coli,0,Orgs/100mL
678412,2017-06-16,SO_14280,Southwold,Turbidity,0.2,NTU
639105,2017-06-16,SN_14943,Snake's Canyon,Turbidity,0.1,NTU
664686,2017-06-16,SN_14943,Snake's Canyon,E. coli,0,Orgs/100mL
630024,2017-06-16,ME_19919,Merton,E. coli,0,Orgs/100mL
663466,2017-06-16,ST_14962,Strathmore,E. coli,0,Orgs/100mL
657267,2017-06-16,ST_13895,Strathmore,THM,0.005,mg/L
689694,2017-06-09,SO_17892,Southwold,THM,0.005,mg/L
650504,2017-06-16,SO_18754,Southwold,E. coli,0,Orgs/100mL
662810,2017-06-16,TA_12934,Tarnstead,E. coli,0,Orgs/100mL
640177,2017-06-09,SN_14788,Snake's Canyon,THM,0.032,mg/L
639763,2017-01-27,SO_18754,Southwold,E. coli,0,Orgs/100mL
603206,2017-01-27,SO_18754,Southwold,Turbidity,0.2,NTU
697542,2017-07-20,ST_15552,Strathmore,Turbidity,0.05,NTU
692485,2017-01-25,WA_12904,Wakefield,Turbidity,0.1,NTU
613377,2017-01-27,ME_14356,Merton,Turbidity,0.2,NTU
636638,2017-01-27,BE_16635,Bellmoral,E. coli,0,Orgs/100mL
675018,2017-01-27,BE_16635,Bellmoral,Turbidity,0.2,NTU
671026,2017-01-27,SN_15690,Snake's Canyon,Turbidity,0.1,NTU
651852,2017-01-27,PO_16509,Pontybridge,E. coli,0,Orgs/100mL
695850,2017-01-27,PO_16509,Pontybridge,Turbidity,0.1,NTU
672905,2017-01-25,WA_12904,Wakefield,E. coli,0,Orgs/100mL
618100,2017-01-27,TA_11822,Tarnstead,Turbidity,0.2,NTU
627852,2017-01-27,TA_11822,Tarnstead,E. coli,0,Orgs/100mL
667934,2017-01-27,ME_14356,Merton,E. coli,0,Orgs/100mL
643731,2017-08-03,PO_16767,Pontybridge,Turbidity,0.05,NTU
637666,2017-08-03,SO_14953,Southwold,Turbidity,0.05,NTU
664062,2017-08-03,PO_16767,Pontybridge,THM,0.042,mg/L
672665,2017-02-15,WA_17412,Wakefield,THM,0.009,mg/L
698988,2017-02-16,SN_15690,Snake's Canyon,Turbidity,0.1,NTU
656887,2017-01-27,SN_15690,Snake's Canyon,E. coli,0,Orgs/100mL
609396,2017-01-27,ST_17736,Strathmore,E. coli,0,Orgs/100mL
632249,2017-02-16,SO_13517,Southwold,Turbidity,0.1,NTU
605489,2017-02-20,PA_14918,Paethsmouth,E. coli,0,Orgs/100mL
653442,2017-02-16,ST_16875,Strathmore,THM,0.009,mg/L
611280,2017-03-20,PA_11469,Paethsmouth,E. coli,0,Orgs/100mL
683812,2017-03-17,ME_13530,Merton,Turbidity,0.2,NTU
699035,2017-03-17,SO_11134,Southwold,Turbidity,0.3,NTU
641089,2017-03-17,SN_11737,Snake's Canyon,Turbidity,0.2,NTU
661000,2017-03-17,TA_12934,Tarnstead,Turbidity,0.3,NTU
696576,2017-02-23,ST_15552,Strathmore,Turbidity,0.2,NTU
603166,2017-03-17,PO_10936,Pontybridge,Turbidity,0.1,NTU
606672,2017-03-17,ST_10925,Strathmore,Turbidity,0.3,NTU
672403,2017-03-17,BL_13006,Blancathey,Turbidity,0.1,NTU
623659,2017-03-17,BE_12742,Bellmoral,Turbidity,0.3,NTU
673218,2017-03-17,SW_10279,Swadlincote,Turbidity,0.2,NTU
682214,2017-02-23,BL_13006,Blancathey,Turbidity,0.2,NTU
692725,2017-02-23,PO_16767,Pontybridge,Turbidity,7.11,NTU
694121,2017-02-23,SW_15649,Swadlincote,Turbidity,0.1,NTU
607369,2017-02-23,ME_15547,Merton,Turbidity,0.2,NTU
618670,2017-02-23,SO_19646,Southwold,Turbidity,0.2,NTU
659085,2017-03-06,PA_15033,Paethsmouth,Turbidity,0.2,NTU
607250,2017-01-04,SN_15690,Snake's Canyon,E. coli,0,Orgs/100mL
608495,2017-02-20,PA_14918,Paethsmouth,THM,0.008,mg/L
679342,2017-02-23,SW_15649,Swadlincote,E. coli,0,Orgs/100mL
688207,2017-03-30,ME_12675,Merton,E. coli,0,Orgs/100mL
693599,2017-03-30,SW_11438,Swadlincote,E. coli,0,Orgs/100mL
697606,2017-03-30,SW_11438,Swadlincote,Turbidity,0.2,NTU
633232,2017-03-30,BL_13006,Blancathey,Turbidity,0.1,NTU
603635,2017-03-30,BL_13006,Blancathey,E. coli,0,Orgs/100mL
649365,2017-03-30,ST_13895,Strathmore,E. coli,0,Orgs/100mL
689401,2017-12-27,WA_18008,Wakefield,Turbidity,0.2,NTU
646234,2017-03-30,BE_16635,Bellmoral,E. coli,0,Orgs/100mL
627343,2017-03-30,ST_13895,Strathmore,Turbidity,0.2,NTU
638974,2017-03-30,TA_11822,Tarnstead,Turbidity,0.2,NTU
619302,2017-03-30,TA_11822,Tarnstead,E. coli,0,Orgs/100mL
651656,2017-04-21,ST_11113,Strathmore,E. coli,0,Orgs/100mL
663250,2017-02-13,PA_19973,Paethsmouth,Turbidity,0.2,NTU
695719,2017-02-16,ME_16215,Merton,E. coli,0,Orgs/100mL
641188,2017-02-16,ST_16875,Strathmore,E. coli,0,Orgs/100mL
651514,2017-02-16,ME_16215,Merton,Turbidity,0.2,NTU
668819,2017-02-16,PO_10333,Pontybridge,Turbidity,0.1,NTU
687832,2017-02-09,ST_11113,Strathmore,Turbidity,0.2,NTU
677944,2017-02-09,PO_16870,Pontybridge,THM,0.047,mg/L
688902,2017-02-09,TA_13563,Tarnstead,THM,0.006,mg/L
653981,2017-02-09,SW_12557,Swadlincote,E. coli,0,Orgs/100mL
687235,2017-02-09,SN_14788,Snake's Canyon,E. coli,0,Orgs/100mL
685463,2017-02-09,BL_13006,Blancathey,Turbidity,0.2,NTU
608256,2017-02-09,ST_14952,Strathmore,E. coli,2,Orgs/100mL
605781,2017-02-09,ME_19866,Merton,E. coli,0,Orgs/100mL
682343,2017-07-14,BL_13006,Blancathey,E. coli,0,Orgs/100mL
639546,2017-01-27,BL_14330,Blancathey,E. coli,0,Orgs/100mL
625422,2017-01-27,SW_11438,Swadlincote,E. coli,0,Orgs/100mL
614975,2017-08-31,ST_13895,Strathmore,Turbidity,0.1,NTU
641881,2017-08-11,TA_12407,Tarnstead,Turbidity,0.1,NTU
693266,2017-08-11,SN_14788,Snake's Canyon,Turbidity,0.1,NTU
621098,2017-08-11,BL_14330,Blancathey,Turbidity,0.1,NTU
663328,2017-08-03,BL_11946,Blancathey,Turbidity,0.05,NTU
685320,2017-08-02,WA_17412,Wakefield,Turbidity,0.05,NTU
615535,2017-08-03,TA_11822,Tarnstead,THM,0.006,mg/L
666464,2017-08-03,ST_13051,Strathmore,Turbidity,0.05,NTU
655212,2017-08-14,PA_11469,Paethsmouth,E. coli,0,Orgs/100mL
642812,2017-08-03,TA_11822,Tarnstead,Turbidity,0.05,NTU
628639,2017-08-03,SN_11737,Snake's Canyon,Turbidity,0.05,NTU
613036,2017-08-07,PA_17652,Paethsmouth,E. coli,0,Orgs/100mL
667054,2017-04-07,SN_14943,Snake's Canyon,Turbidity,0.3,NTU
637854,2017-04-10,PA_12021,Paethsmouth,Turbidity,0.2,NTU
673457,2017-04-12,WA_15184,Wakefield,E. coli,0,Orgs/100mL
640709,2017-04-21,TA_13563,Tarnstead,E. coli,0,Orgs/100mL
643997,2017-04-20,WA_15101,Wakefield,E. coli,0,Orgs/100mL
610891,2017-04-18,PA_11116,Paethsmouth,Turbidity,0.1,NTU
662925,2017-04-21,ME_16507,Merton,E. coli,0,Orgs/100mL
672573,2017-04-21,SW_15649,Swadlincote,E. coli,0,Orgs/100mL
603897,2017-04-21,ME_18009,Merton,E. coli,0,Orgs/100mL
613892,2017-04-21,ST_19479,Strathmore,E. coli,0,Orgs/100mL
658501,2017-01-27,ME_16148,Merton,E. coli,0,Orgs/100mL
675887,2017-01-27,ST_15319,Strathmore,E. coli,0,Orgs/100mL
654394,2018-04-09,PA_16549,Paethsmouth,E. coli,0,Orgs/100mL
697017,2017-04-21,BE_15094,Bellmoral,E. coli,0,Orgs/100mL
628996,2017-12-29,BL_14330,Blancathey,E. coli,0,Orgs/100mL
605171,2017-12-22,ST_16944,Strathmore,THM,0.007,mg/L
690991,2017-12-22,SN_14943,Snake's Canyon,THM,0.038,mg/L
645990,2017-12-27,SO_11134,Southwold,THM,0.006,mg/L
608271,2017-12-29,SN_14788,Snake's Canyon,Turbidity,0.2,NTU
658974,2017-12-29,BL_14330,Blancathey,Turbidity,0.1,NTU
659153,2017-12-28,PO_16870,Pontybridge,Turbidity,0.2,NTU
623033,2017-12-28,SW_15649,Swadlincote,Turbidity,0.2,NTU
681440,2017-12-27,ME_19934,Merton,THM,0.76344,mg/L
623791,2017-05-31,WA_17412,Wakefield,E. coli,0,Orgs/100mL
602741,2017-06-02,ME_11496,Merton,Turbidity,0.2,NTU
653651,2017-06-02,ST_10925,Strathmore,Turbidity,0.1,NTU
615395,2017-06-02,ST_17970,Strathmore,E. coli,0,Orgs/100mL
609323,2017-06-02,SO_11519,Southwold,Turbidity,0.1,NTU
660246,2017-03-09,SO_14953,Southwold,E. coli,0,Orgs/100mL
624957,2017-03-09,SW_18483,Swadlincote,E. coli,0,Orgs/100mL
650617,2017-06-02,BL_13006,Blancathey,Turbidity,0.2,NTU
656870,2017-06-02,BL_13006,Blancathey,E. coli,0,Orgs/100mL
680041,2017-06-02,ME_17256,Merton,E. coli,0,Orgs/100mL
638153,2017-06-06,PA_16549,Paethsmouth,E. coli,0,Orgs/100mL
646055,2017-05-31,WA_17412,Wakefield,Turbidity,0.1,NTU
621422,2017-01-30,PA_12021,Paethsmouth,E. coli,0,Orgs/100mL
604798,2017-02-16,BE_15094,Bellmoral,Turbidity,0.2,NTU
671693,2017-02-16,BL_14594,Blancathey,Turbidity,0.1,NTU
612191,2017-05-10,WA_18008,Wakefield,Turbidity,0.2,NTU
626690,2017-05-11,SO_19646,Southwold,THM,0.005,mg/L
665743,2017-05-11,BE_17841,Bellmoral,THM,0.006,mg/L
687795,2017-05-11,SN_15690,Snake's Canyon,THM,0.031,mg/L
653606,2017-05-11,PO_10333,Pontybridge,Turbidity,0.1,NTU
623279,2017-05-11,SN_15690,Snake's Canyon,Turbidity,0.1,NTU
609024,2017-05-11,BE_17841,Bellmoral,Turbidity,0.1,NTU
668381,2017-05-11,ME_19289,Merton,Turbidity,0.1,NTU
660758,2017-04-07,ME_16148,Merton,Turbidity,0.2,NTU
624545,2017-04-07,SO_14280,Southwold,Turbidity,0.2,NTU
695607,2017-05-11,SO_19646,Southwold,Turbidity,0.2,NTU
628770,2017-04-10,PA_12021,Paethsmouth,E. coli,0,Orgs/100mL
626121,2017-04-11,BL_11946,Blancathey,E. coli,0,Orgs/100mL
669032,2017-01-04,BL_14330,Blancathey,E. coli,0,Orgs/100mL
659807,2017-01-04,BL_14330,Blancathey,Turbidity,0.1,NTU
604810,2017-01-06,ST_17970,Strathmore,E. coli,0,Orgs/100mL
673920,2017-01-05,WA_18008,Wakefield,E. coli,0,Orgs/100mL
638372,2017-01-05,SO_11134,Southwold,E. coli,0,Orgs/100mL
644488,2017-04-07,BL_14330,Blancathey,Turbidity,0.1,NTU
629286,2017-02-23,TA_12934,Tarnstead,Turbidity,0.2,NTU
651253,2017-02-23,BE_13422,Bellmoral,Turbidity,0.2,NTU
691251,2017-02-23,SN_14943,Snake's Canyon,Turbidity,0.2,NTU
636249,2017-01-05,TA_11822,Tarnstead,E. coli,0,Orgs/100mL
659481,2017-02-23,ME_15845,Merton,E. coli,0,Orgs/100mL
637801,2017-02-23,BL_13006,Blancathey,E. coli,0,Orgs/100mL
636825,2017-03-01,WA_17864,Wakefield,E. coli,0,Orgs/100mL
637867,2017-03-02,ST_18354,Strathmore,E. coli,0,Orgs/100mL
686936,2017-03-02,BL_11946,Blancathey,Turbidity,0.2,NTU
622535,2017-02-23,SO_19646,Southwold,E. coli,0,Orgs/100mL
647418,2017-12-28,BE_15094,Bellmoral,Turbidity,0.2,NTU
650842,2017-12-28,BE_15094,Bellmoral,THM,0.006,mg/L
663724,2017-12-29,SN_14788,Snake's Canyon,E. coli,0,Orgs/100mL
658359,2017-03-02,ME_14145,Merton,E. coli,0,Orgs/100mL
607501,2017-03-03,PO_16509,Pontybridge,E. coli,0,Orgs/100mL
658479,2017-03-03,BE_18768,Bellmoral,E. coli,0,Orgs/100mL
629145,2017-03-03,BE_18768,Bellmoral,Turbidity,0.2,NTU
673086,2017-03-02,SN_15690,Snake's Canyon,Turbidity,0.2,NTU
650866,2017-03-06,PA_15033,Paethsmouth,E. coli,0,Orgs/100mL
637155,2017-12-22,BL_14594,Blancathey,THM,0.043,mg/L
676636,2017-03-02,ME_19289,Merton,E. coli,0,Orgs/100mL
637379,2017-03-02,SN_15690,Snake's Canyon,E. coli,0,Orgs/100mL
640267,2017-03-01,WA_17864,Wakefield,Turbidity,0.2,NTU
643050,2017-03-02,SO_17043,Southwold,E. coli,0,Orgs/100mL
664412,2017-03-02,BL_11946,Blancathey,E. coli,0,Orgs/100mL
610721,2017-04-28,BE_13422,Bellmoral,Turbidity,0.1,NTU
654212,2017-05-11,SN_15690,Snake's Canyon,E. coli,0,Orgs/100mL
646789,2017-05-11,ST_16944,Strathmore,E. coli,0,Orgs/100mL
611531,2017-01-23,PA_10485,Paethsmouth,THM,0.009,mg/L
615076,2017-05-11,ME_14145,Merton,E. coli,0,Orgs/100mL
617265,2017-03-17,PO_10936,Pontybridge,E. coli,0,Orgs/100mL
661097,2017-03-17,ST_10925,Strathmore,E. coli,0,Orgs/100mL
691973,2017-03-17,TA_12934,Tarnstead,E. coli,0,Orgs/100mL
659444,2017-03-09,SO_11580,Southwold,E. coli,0,Orgs/100mL
665944,2017-05-25,ST_16139,Strathmore,E. coli,0,Orgs/100mL
669190,2017-05-25,ME_17891,Merton,E. coli,0,Orgs/100mL
662519,2017-05-25,ME_13530,Merton,E. coli,0,Orgs/100mL
602549,2017-05-25,SW_17925,Swadlincote,THM,0.006,mg/L
645888,2017-05-29,PA_11469,Paethsmouth,Turbidity,0.1,NTU
601175,2017-05-04,ME_15547,Merton,E. coli,0,Orgs/100mL
622808,2017-05-01,PA_14918,Paethsmouth,Turbidity,0.1,NTU
604739,2017-05-04,TA_11822,Tarnstead,THM,0.016,mg/L
653551,2017-05-04,PO_16509,Pontybridge,THM,0.049,mg/L
617154,2017-05-04,SW_18453,Swadlincote,E. coli,0,Orgs/100mL
698165,2017-03-14,PA_17652,Paethsmouth,Turbidity,0.3,NTU
626319,2017-03-23,ST_14989,Strathmore,E. coli,0,Orgs/100mL
653520,2017-03-23,SW_17925,Swadlincote,Turbidity,0.2,NTU
673731,2017-04-27,WA_17412,Wakefield,Turbidity,0.1,NTU
600464,2017-07-10,PA_14918,Paethsmouth,Turbidity,0.1,NTU
640813,2017-07-10,PA_14918,Paethsmouth,THM,0.007,mg/L
653804,2017-07-13,WA_10025,Wakefield,E. coli,0,Orgs/100mL
650690,2017-07-14,BE_17841,Bellmoral,E. coli,0,Orgs/100mL
