V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,PID,psid,K2,project,gc,term,Q_TotalDuration,med,consent,city,tap,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,hardship,contact,trap,t01,t02,t03,t04,t05,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13
R_cCFOUyVPUCLUHQx,Default Response Set,Anonymous,,,50.164.196.20,0,2015-03-19 08:42:26,2015-03-19 08:50:00,1,1269824700,iZXUO4qzTRTHpvNqZ31o-Q**,27197,Qual712-0618WaterUtilities,1,,454,19085465213803,1,3,1,1,1,5,1,1,7,7,4,4,4,6,1,1,6,3,3,3,6,5,6,4,4,4,4,6,4,4,4,6,4,4
R_4G6JlXmVzkq49ox,Default Response Set,Anonymous,,,166.170.47.171,0,2015-03-19 08:43:57,2015-03-19 08:53:29,1,1238664070,iZXUO4qzTRSHVPTA5aPXTA**,27197,Qual712-0618WaterUtilities,1,,572,18617120944903,1,1,1,1,1,6,7,7,7,1,1,2,1,7,7,1,7,7,7,7,6,7,7,6,6,6,7,7,7,7,6,6,6,7
R_a5XS6Db0Mlss83X,Default Response Set,Anonymous,,,155.41.81.91,0,2015-03-19 08:51:34,2015-03-19 08:53:48,1,1270656704,iZXUO4qzTRRUpAmsFFSoQQ**,27197,Qual712-0618WaterUtilities,1,,134,19097970233923,1,1,1,1,4,4,6,6,4,4,4,6,4,2,3,1,7,4,7,5,4,2,4,4,4,4,4,4,4,4,4,3,4,4
R_aac3vkqPddEjYXj,Default Response Set,Anonymous,,,66.87.124.12,0,2015-03-19 08:47:31,2015-03-19 08:53:53,1,1277809604,iZXUO4qzTRTYu8AI_5nTEw**,27197,Qual712-0618WaterUtilities,2,attention,382,,1,3,1,4,4,4,4,4,4,4,4,4,4,4,1,0,,,,,,,,,,,,,,,,,,
R_6QBo7SzN8p50qhv,Default Response Set,Anonymous,,,172.56.22.21,0,2015-03-19 08:51:27,2015-03-19 08:54:31,1,1277865585,iZXUO4qzTRS-9C5rDODiiA**,27197,Qual712-0618WaterUtilities,1,,184,19206319715353,1,3,1,1,1,5,7,7,5,4,4,4,2,1,1,1,6,6,5,3,3,4,6,4,5,4,4,4,4,4,4,5,4,5
R_0HyzPqn9JjzSNYF,Default Response Set,Anonymous,,,174.62.166.12,0,2015-03-19 08:55:48,2015-03-19 08:56:04,1,1274729644,iZXUO4qzTRQivmsoGfyzGA**,27197,Qual712-0618WaterUtilities,2,otherCity,16,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_bjG79vbemIWt0j3,Default Response Set,Anonymous,,,24.9.154.104,0,2015-03-19 08:50:34,2015-03-19 08:57:40,1,1274632857,iZXUO4qzTRSLO7J26uNFww**,27197,Qual712-0618WaterUtilities,1,,426,19157731813513,1,2,1,7,4,6,7,7,5,3,4,4,4,2,1,1,6,6,6,5,6,6,6,6,6,6,7,6,6,6,5,6,6,6
R_0c70SPPmBmO6qPz,Default Response Set,Anonymous,,,172.249.233.231,0,2015-03-19 08:56:16,2015-03-19 08:58:20,1,1277270249,iZXUO4qzTRR0UcFnyIouiQ**,27197,Qual712-0618WaterUtilities,2,attention,124,,1,1,1,4,4,4,4,5,4,4,4,4,4,4,3,0,,,,,,,,,,,,,,,,,,
R_0CnqynDeEQ9TH5r,Default Response Set,Anonymous,,,108.192.9.170,0,2015-03-19 08:58:45,2015-03-19 08:59:15,1,1275509201,iZXUO4qzTRRTw4LqJXulMg**,27197,Qual712-0618WaterUtilities,2,noTapWater,30,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_77GQJjne9Feoesl,Default Response Set,Anonymous,,,98.216.39.57,0,2015-03-19 09:01:10,2015-03-19 09:01:51,1,1277794519,iZXUO4qzTRRxKPQ-18Xa9Q**,27197,Qual712-0618WaterUtilities,2,otherCity,41,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cHlH7XkaGl0QTdj,Default Response Set,Anonymous,,,74.61.111.245,0,2015-03-19 08:58:45,2015-03-19 09:02:28,1,1278044441,iZXUO4qzTRQs700QwXSwew**,27197,Qual712-0618WaterUtilities,1,,223,19209007921033,1,1,1,1,3,3,7,7,4,6,5,7,4,4,1,1,7,3,3,3,3,4,5,4,4,4,4,4,4,4,4,4,4,4
R_6EZCIKcXiyzWlg1,Default Response Set,Anonymous,,,100.0.22.199,0,2015-03-19 08:58:19,2015-03-19 09:02:37,1,1107073105,iZXUO4qzTRQNgevZ5YvlyQ**,27197,Qual712-0618WaterUtilities,1,,258,16639308740953,1,3,1,1,1,7,7,7,5,2,1,3,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
R_5dx7qtF0nrnYKjj,Default Response Set,Anonymous,,,100.0.36.139,0,2015-03-19 09:01:08,2015-03-19 09:02:42,1,1254292726,iZXUO4qzTRSRDuN4et0Lrg**,27197,Qual712-0618WaterUtilities,2,attention,94,,1,3,1,1,3,4,4,7,4,6,6,4,4,2,1,0,,,,,,,,,,,,,,,,,,
R_2sMp1eiMIFw47mB,Default Response Set,Anonymous,,,166.173.184.93,0,2015-03-19 08:55:41,2015-03-19 09:03:30,1,1276573280,iZXUO4qzTRRh-DNesog6vw**,27197,Qual712-0618WaterUtilities,1,,469,19186896371203,1,2,1,1,1,7,7,7,1,7,7,4,4,2,1,1,7,7,6,6,7,7,7,6,4,4,6,4,4,4,4,6,4,4
R_becyZz8dMrCUjpX,Default Response Set,Anonymous,,,184.96.122.10,0,2015-03-19 09:03:29,2015-03-19 09:07:20,1,1270873991,iZXUO4qzTRRWyLaHdxh5fA**,27197,Qual712-0618WaterUtilities,1,,231,19101236057533,1,2,1,2,2,4,7,7,4,4,3,7,4,2,1,1,7,7,7,6,7,7,7,6,7,5,6,7,4,6,7,7,6,7
R_0obrjwH303ss09D,Default Response Set,Anonymous,,,75.166.196.123,0,2015-03-19 09:07:37,2015-03-19 09:10:21,1,1233308635,iZXUO4qzTRRnDwx1n62Rjg**,27197,Qual712-0618WaterUtilities,1,,164,18536628756853,1,2,1,1,1,7,7,7,7,6,1,1,4,6,2,1,4,3,5,1,2,2,4,4,6,3,3,4,3,3,3,3,1,2
R_cu8oj6wXuwjGFQV,Default Response Set,Anonymous,,,50.155.215.168,0,2015-03-19 09:10:10,2015-03-19 09:11:58,1,1268398186,iZXUO4qzTRQnwn_AjPC3_Q**,27197,Qual712-0618WaterUtilities,1,,108,19064024708383,1,2,1,1,1,7,7,7,7,7,1,1,1,1,2,1,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7
R_5gJXP5wyiEYsJSJ,Default Response Set,Anonymous,,,99.45.60.46,0,2015-03-19 09:09:30,2015-03-19 09:12:49,1,1215978572,iZXUO4qzTRRqnwaDKMsSQA**,27197,Qual712-0618WaterUtilities,1,,199,18276157909963,1,1,1,1,1,7,7,7,7,1,1,1,1,2,3,1,6,5,6,5,6,6,6,6,6,6,5,6,6,4,6,6,5,6
R_0kPRBQiNpoOs84Z,Default Response Set,Anonymous,,,76.119.198.137,0,2015-03-19 09:09:33,2015-03-19 09:12:55,1,1249209409,iZXUO4qzTRROTK5apgn3tA**,27197,Qual712-0618WaterUtilities,1,,202,18775617390073,1,3,1,1,1,7,7,7,1,3,5,7,3,1,2,1,7,2,5,4,3,5,7,7,7,4,7,4,1,6,1,6,3,2
R_8AFf7FAcnepU6H3,Default Response Set,Anonymous,,,24.147.138.250,0,2015-03-19 09:12:36,2015-03-19 09:14:10,1,1261938772,iZXUO4qzTRTUR-uv3H8CaA**,27197,Qual712-0618WaterUtilities,1,,94,18966939715963,1,3,1,1,7,7,7,7,7,7,7,7,7,1,1,1,7,7,6,5,6,4,4,4,4,4,6,4,4,4,4,4,4,4
R_8wx5KaZRrrcxGBv,Default Response Set,Anonymous,,,71.93.115.89,0,2015-03-19 09:16:16,2015-03-19 09:16:34,1,1086300081,iZXUO4qzTRRbs4J2iEPVOg**,27197,Qual712-0618WaterUtilities,2,consent,18,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3UgXE1r0qfOgKCF,Default Response Set,Anonymous,,,24.8.207.164,0,2015-03-19 09:16:18,2015-03-19 09:16:42,1,1198648580,iZXUO4qzTRSVtlDWYpbspQ**,27197,Qual712-0618WaterUtilities,2,consent,24,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1BTtH9WnvtMtvSd,Default Response Set,Anonymous,,,162.231.166.118,0,2015-03-19 09:12:38,2015-03-19 09:17:23,1,1272067138,iZXUO4qzTRSGFuRTP0d1cg**,27197,Qual712-0618WaterUtilities,2,attention,285,,1,1,1,1,1,7,7,7,7,1,1,1,1,1,2,0,,,,,,,,,,,,,,,,,,
R_6rRLptjHISkztwV,Default Response Set,Anonymous,,,198.91.10.183,0,2015-03-19 09:18:11,2015-03-19 09:20:19,1,1248366410,iZXUO4qzTRRofuHxjtKQ_g**,27197,Qual712-0618WaterUtilities,1,,128,18762947115103,1,2,1,1,1,7,7,7,7,1,1,1,1,1,3,1,6,7,7,6,7,7,7,7,7,6,6,6,6,6,6,7,6,7
R_bpfifyYkiUsJVDD,Default Response Set,Anonymous,,,208.54.4.170,0,2015-03-19 08:59:10,2015-03-19 09:22:04,1,1274181249,iZXUO4qzTRTCertKPNRP2w**,27197,Qual712-0618WaterUtilities,1,,1374,19150944145273,1,1,1,6,3,2,1,7,5,7,6,6,4,7,1,1,1,1,7,1,7,1,1,1,7,1,7,7,5,7,7,1,1,1
R_4OyERXvDL74ddop,Default Response Set,Anonymous,,,76.91.41.175,0,2015-03-19 09:16:16,2015-03-19 09:22:08,1,1264106187,iZXUO4qzTRQblpRwA8hy0g**,27197,Qual712-0618WaterUtilities,1,,352,18999515963413,1,1,1,4,4,5,3,6,3,6,7,5,4,1,1,1,5,1,1,1,5,5,4,4,4,4,5,4,4,3,4,5,4,4
R_1HQfRGd0nVWwADj,Default Response Set,Anonymous,,,98.118.26.70,0,2015-03-19 09:19:25,2015-03-19 09:22:49,1,1233718730,iZXUO4qzTRQwxc7hxAD-jQ**,27197,Qual712-0618WaterUtilities,1,,204,18542792484703,1,3,1,1,3,6,3,7,5,4,4,5,3,7,2,1,7,3,6,3,3,4,4,4,4,3,4,5,3,1,4,4,5,4
R_55Nb7uNPi2OACNv,Default Response Set,Anonymous,,,166.172.188.241,0,2015-03-19 09:23:19,2015-03-19 09:23:36,1,1274120532,iZXUO4qzTRQR8NfPGQfYbg**,27197,Qual712-0618WaterUtilities,2,otherCity,17,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1Hwdm8JL42YjY45,Default Response Set,Anonymous,,,76.94.141.189,0,2015-03-19 09:23:18,2015-03-19 09:23:37,1,1275734783,iZXUO4qzTRRefwgJnWjHZQ**,27197,Qual712-0618WaterUtilities,2,noTapWater,19,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_bvYi8stJiE1xbcV,Default Response Set,Anonymous,,,174.29.215.179,0,2015-03-19 09:18:59,2015-03-19 09:24:05,1,1131896274,iZXUO4qzTRSMZE0tVvVY7g**,27197,Qual712-0618WaterUtilities,1,,306,17012400971023,1,2,1,1,1,7,7,7,6,2,1,1,1,6,1,1,7,7,7,7,5,5,6,6,6,6,6,4,6,6,6,6,6,6
R_d6XPeEDlLZPUT1H,Default Response Set,Anonymous,,,132.194.93.207,0,2015-03-19 09:23:16,2015-03-19 09:24:43,1,1262967837,iZXUO4qzTRTQUDwt8qpJ7w**,27197,Qual712-0618WaterUtilities,1,,87,18982406562913,1,2,1,1,1,4,7,7,4,4,4,4,4,3,1,1,7,6,7,4,4,5,4,4,4,4,4,4,4,4,4,6,4,4
R_1XJ4gFwuxUQJnVj,Default Response Set,Anonymous,,,172.249.82.77,0,2015-03-19 09:23:18,2015-03-19 09:27:23,1,1131998677,iZXUO4qzTRTyCJzqaN-Wkg**,27197,Qual712-0618WaterUtilities,1,,245,17013940088113,1,1,1,1,1,7,7,7,5,6,3,5,3,1,1,1,7,5,6,5,5,6,7,7,6,7,7,7,6,6,6,6,6,6
R_a422YauXSLglw1v,Default Response Set,Anonymous,,,45.48.137.39,0,2015-03-19 09:23:17,2015-03-19 09:27:26,1,1255747506,iZXUO4qzTRSIllhBeDd5rw**,27197,Qual712-0618WaterUtilities,2,attention,249,,1,1,1,1,1,7,7,7,7,1,1,1,1,5,1,0,,,,,,,,,,,,,,,,,,
R_bfHvHHZn8FsPUVv,Default Response Set,Anonymous,,,67.176.27.218,0,2015-03-19 09:22:33,2015-03-19 09:27:31,1,1079204691,iZXUO4qzTRReQ9HVYZ_U7g**,27197,Qual712-0618WaterUtilities,1,,298,16220446478533,1,2,1,4,4,4,4,4,4,4,4,4,4,7,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
R_ebKHaTJXjbMrHrn,Default Response Set,Anonymous,,,108.59.10.153,0,2015-03-19 09:23:31,2015-03-19 09:30:14,1,1278584404,iZXUO4qzTRRv8MAm33bzfw**,27197,Qual712-0618WaterUtilities,1,,403,19217123564923,1,1,1,1,3,7,7,7,7,1,6,1,6,5,1,1,7,4,6,7,5,7,4,6,6,5,6,6,7,5,6,6,3,1
R_9ZwkHTfKu1hwb77,Default Response Set,Anonymous,,,68.55.23.158,0,2015-03-19 09:31:39,2015-03-19 09:31:54,1,1266828910,iZXUO4qzTRS_UuFiIlNx4Q**,27197,Qual712-0618WaterUtilities,2,otherCity,15,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6kQFL74VpkzT06F,Default Response Set,Anonymous,,,75.67.198.203,0,2015-03-19 09:29:41,2015-03-19 09:32:01,1,1114760476,iZXUO4qzTRSPr16Pg9AJlQ**,27197,Qual712-0618WaterUtilities,1,,140,16754849927083,1,3,1,1,1,7,7,7,6,2,1,1,1,1,1,1,7,7,7,7,7,6,7,6,6,4,6,5,4,5,4,6,6,5
R_e3ea6ZQyCWyxaIJ,Default Response Set,Anonymous,,,24.218.148.255,0,2015-03-19 09:31:01,2015-03-19 09:35:22,1,1277810643,iZXUO4qzTRQAJH6Xep13Lg**,27197,Qual712-0618WaterUtilities,2,attention,261,,1,3,1,1,4,1,6,5,6,2,1,4,2,3,1,0,,,,,,,,,,,,,,,,,,
R_e3VQhzVRgbyPB0p,Default Response Set,Anonymous,,,146.115.60.64,0,2015-03-19 09:37:39,2015-03-19 09:37:50,1,1269910489,iZXUO4qzTRTeMREs8_1gjw**,27197,Qual712-0618WaterUtilities,2,otherCity,11,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_aWZt8fXvLYAauhf,Default Response Set,Anonymous,,,98.245.252.109,0,2015-03-19 09:35:34,2015-03-19 09:41:55,1,1208926352,iZXUO4qzTRRxe4CtSJ-B0g**,27197,Qual712-0618WaterUtilities,1,,381,18170163043363,1,2,1,2,2,5,7,1,6,4,2,4,3,1,2,1,7,7,6,6,6,4,7,6,7,6,7,6,4,6,6,6,6,6
R_4TjXu71GBMuQaQl,Default Response Set,Anonymous,,,73.34.48.227,0,2015-03-19 09:41:56,2015-03-19 09:42:14,1,1264626689,iZXUO4qzTRQ8KQool0yd8w**,27197,Qual712-0618WaterUtilities,2,otherCity,18,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_bDZU9gAQzZvtasZ,Default Response Set,Anonymous,,,97.118.181.152,0,2015-03-19 09:38:32,2015-03-19 09:44:12,1,1131877156,iZXUO4qzTRS-eKtzluNS-w**,27197,Qual712-0618WaterUtilities,1,,340,17012113627483,1,2,1,1,6,7,7,7,6,2,3,6,6,1,1,1,7,6,3,6,7,7,6,4,6,4,6,4,4,4,4,6,4,6
R_bOQWDiIRjL1Tw0t,Default Response Set,Anonymous,,,146.115.151.149,0,2015-03-19 09:45:53,2015-03-19 09:46:14,1,1079229255,iZXUO4qzTRQ0hvOOBc-Njg**,27197,Qual712-0618WaterUtilities,2,otherCity,21,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2srJjTbJJi20QwB,Default Response Set,Anonymous,,,65.96.215.111,0,2015-03-19 09:42:53,2015-03-19 09:47:08,1,1156050393,iZXUO4qzTRSYT4BLXuVUPw**,27197,Qual712-0618WaterUtilities,1,,255,17375437379593,1,3,1,7,6,7,1,1,4,4,5,4,6,2,1,1,7,7,6,7,3,5,7,4,5,4,7,7,3,3,4,1,4,4
R_cJjgv8WYAfgr9Rj,Default Response Set,Anonymous,,,71.93.115.156,0,2015-03-19 09:41:17,2015-03-19 09:47:17,1,1278466334,iZXUO4qzTRQYkSmEVSZhXg**,27197,Qual712-0618WaterUtilities,1,,360,19215348972823,1,1,1,2,3,4,4,4,4,4,3,4,4,1,1,1,5,4,3,5,4,4,6,5,5,4,5,4,5,5,5,5,3,4
R_3pZ4OtjbrPloa7b,Default Response Set,Anonymous,,,70.211.137.153,0,2015-03-19 09:45:58,2015-03-19 09:47:35,1,1277810062,iZXUO4qzTRRdcy20lg0cPg**,27197,Qual712-0618WaterUtilities,2,attention,97,,1,1,1,4,4,4,4,4,4,4,4,4,4,2,3,0,,,,,,,,,,,,,,,,,,
R_0obv5dWLCC96QwB,Default Response Set,Anonymous,,,71.229.232.82,0,2015-03-19 09:47:05,2015-03-19 09:51:45,1,1278128066,iZXUO4qzTRSuc6brsElPnA**,27197,Qual712-0618WaterUtilities,1,,280,19210264804783,1,2,1,1,1,7,7,7,4,4,4,4,1,4,1,1,7,5,5,4,6,6,5,4,6,4,6,4,4,5,4,6,4,6
R_d1pRTWTIxFd9WUR,Default Response Set,Anonymous,,,70.211.130.141,0,2015-03-19 09:48:21,2015-03-19 09:53:11,1,1088393130,iZXUO4qzTRRWHzYx6pUd4g**,27197,Qual712-0618WaterUtilities,1,,290,16358548716703,1,1,1,4,4,3,3,2,3,5,6,5,4,2,2,1,6,2,4,2,6,6,6,5,6,6,6,6,5,5,6,4,6,5
R_doFNRg6qiEB5he5,Default Response Set,Anonymous,,,50.157.253.6,0,2015-03-19 09:52:56,2015-03-19 09:53:17,1,1259078496,iZXUO4qzTRSmdIuN8ji7qQ**,27197,Qual712-0618WaterUtilities,2,otherCity,21,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_eV9IhrrtXupmG5n,Default Response Set,Anonymous,,,54.86.32.166,0,2015-03-19 09:48:57,2015-03-19 09:54:51,1,1256294824,iZXUO4qzTRTbcy1V_7zjSw**,27197,Qual712-0618WaterUtilities,1,,354,18882111177523,1,3,1,1,3,6,6,7,7,4,2,3,2,5,1,1,7,6,7,7,6,5,6,7,5,4,6,6,6,5,7,5,5,2
R_5unZqQVVYVi0eQ5,Default Response Set,Anonymous,,,199.64.0.252,0,2015-03-19 09:55:54,2015-03-19 09:57:17,1,1212132124,iZXUO4qzTRTbOLPnkoiUiA**,27197,Qual712-0618WaterUtilities,2,attention,83,,1,1,1,3,2,6,6,6,1,7,6,5,5,1,2,0,,,,,,,,,,,,,,,,,,
R_77K3bgPETdsYBUN,Default Response Set,Anonymous,,,50.187.158.193,0,2015-03-19 09:55:50,2015-03-19 10:00:08,1,1164367428,iZXUO4qzTRROZzhvLt2y1Q**,27197,Qual712-0618WaterUtilities,1,,258,17500442415643,1,3,1,1,1,6,7,7,5,3,1,3,3,3,1,1,6,5,5,5,6,4,4,4,5,4,5,4,4,4,4,3,4,4
R_bgDnble2Z1Kpdop,Default Response Set,Anonymous,,,169.231.39.58,0,2015-03-19 09:59:53,2015-03-19 10:00:13,1,1260261663,iZXUO4qzTRTZZ-SjiEdshQ**,27197,Qual712-0618WaterUtilities,2,otherCity,20,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cVcNukMX93mCCK9,Default Response Set,Anonymous,,,73.169.89.72,0,2015-03-19 09:55:45,2015-03-19 10:00:24,1,1266350526,iZXUO4qzTRRkS3Mit4s4vA**,27197,Qual712-0618WaterUtilities,1,,279,19033248378583,1,2,1,1,1,7,7,7,6,2,1,2,2,2,1,1,7,7,7,7,7,7,7,4,7,4,7,4,4,4,4,7,4,4
R_2rzlBIdPEusTWYt,Default Response Set,Anonymous,,,71.229.254.88,0,2015-03-19 09:56:50,2015-03-19 10:00:26,1,1134532812,iZXUO4qzTRRfQl-ZMHKzsw**,27197,Qual712-0618WaterUtilities,1,,216,17052028137163,1,2,1,1,2,5,6,7,4,4,2,4,4,1,1,1,7,7,7,7,7,7,7,4,7,4,7,4,4,4,4,7,4,7
R_8hUDoqEXpwsXFt3,Default Response Set,Anonymous,,,70.211.139.183,0,2015-03-19 09:55:29,2015-03-19 10:01:37,1,1274798343,iZXUO4qzTRTZMpg1Ky1c3Q**,27197,Qual712-0618WaterUtilities,1,,368,19160219068093,1,1,1,1,1,7,7,7,7,6,1,1,2,2,1,1,7,4,6,6,6,5,5,4,4,4,5,4,4,4,4,5,4,3
R_eG0VHY35m5AXPMx,Default Response Set,Anonymous,,,184.96.173.39,0,2015-03-19 10:01:46,2015-03-19 10:01:59,1,1162145625,iZXUO4qzTRRcz6kGT1ODmw**,27197,Qual712-0618WaterUtilities,2,consent,13,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9FQZAq2OSi576AJ,Default Response Set,Anonymous,,,72.251.8.10,0,2015-03-19 09:49:19,2015-03-19 10:02:22,1,1079286692,iZXUO4qzTRQ6eerJmP7Myw**,27197,Qual712-0618WaterUtilities,1,,783,16221678953563,1,2,1,1,1,7,7,7,4,5,2,4,2,3,1,1,6,4,6,5,5,4,5,3,6,3,5,4,3,2,2,5,4,3
R_eku16BZK3NLic4J,Default Response Set,Anonymous,,,107.197.97.163,0,2015-03-19 10:03:21,2015-03-19 10:03:35,1,1079210756,iZXUO4qzTRTKjkwAVZ64kw**,27197,Qual712-0618WaterUtilities,2,otherCity,14,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cUgmhCsMXzBS6C9,Default Response Set,Anonymous,,,72.168.163.137,0,2015-03-19 09:57:55,2015-03-19 10:04:37,1,1209197165,iZXUO4qzTRQhIPGLC3djHA**,27197,Qual712-0618WaterUtilities,1,,402,18174233362753,1,2,1,1,1,7,7,7,7,1,1,1,1,1,3,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
R_6inkyKEW7qNGhMN,Default Response Set,Anonymous,,,72.74.76.202,0,2015-03-19 10:00:02,2015-03-19 10:05:18,1,1277761722,iZXUO4qzTRQiEsD4rIb2YA**,27197,Qual712-0618WaterUtilities,1,,316,19204758654463,1,3,1,1,1,7,7,7,7,1,1,1,1,1,1,1,7,7,7,7,7,6,7,6,7,6,6,6,6,6,6,6,6,6
R_5BhNy4k3DtZVKgl,Default Response Set,Anonymous,,,98.189.251.82,0,2015-03-19 10:03:42,2015-03-19 10:07:00,1,1152403296,iZXUO4qzTRTRGbB8oqWf7g**,27197,Qual712-0618WaterUtilities,1,,198,17320621511683,1,1,1,1,3,6,7,5,5,4,2,4,5,1,1,1,7,7,7,6,7,7,7,7,7,4,7,7,7,7,7,7,7,7
R_6GnCJG0hB7TEOep,Default Response Set,Anonymous,,,97.122.101.43,0,2015-03-19 10:06:58,2015-03-19 10:09:32,1,1079326345,iZXUO4qzTRTuZfNR00gD0w**,27197,Qual712-0618WaterUtilities,1,,154,16222274938153,1,2,1,4,3,5,6,6,3,6,4,6,6,1,3,1,7,7,7,6,7,7,7,6,7,6,7,6,5,5,5,7,5,6
R_87gXsnFfltUhSXr,Default Response Set,Anonymous,,,107.184.55.132,0,2015-03-19 10:10:17,2015-03-19 10:12:09,1,1190674499,iZXUO4qzTRQD87mmq-P-ow**,27197,Qual712-0618WaterUtilities,1,,112,17895837692773,1,1,1,5,4,5,6,5,4,4,3,6,5,2,2,1,4,5,3,4,6,5,5,5,4,5,4,3,5,6,6,3,4,4
R_9QzpVORAEwX6zhH,Default Response Set,Anonymous,,,173.48.94.224,0,2015-03-19 10:09:12,2015-03-19 10:14:17,1,1278144391,iZXUO4qzTRTfLg1sg1ioZA**,27197,Qual712-0618WaterUtilities,1,,305,19210510169533,1,3,1,1,1,7,7,7,7,1,1,1,1,1,1,1,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
R_cByUffBPN24Ghrn,Default Response Set,Anonymous,,,50.177.143.177,0,2015-03-19 10:10:44,2015-03-19 10:15:09,1,1119895093,iZXUO4qzTRSSuDOau1MQ0A**,27197,Qual712-0618WaterUtilities,1,,265,16832023220593,1,3,1,1,2,7,7,7,5,4,4,4,3,6,3,1,7,5,4,4,6,6,6,6,6,6,6,6,6,5,6,5,6,5
R_296W9HSCW0Qf4kB,Default Response Set,Anonymous,,,71.174.175.223,0,2015-03-19 10:13:16,2015-03-19 10:16:11,1,1278488488,iZXUO4qzTRRFkp7CRDjSoQ**,27197,Qual712-0618WaterUtilities,2,attention,175,,1,3,1,1,5,7,7,7,1,7,5,7,4,2,1,0,,,,,,,,,,,,,,,,,,
R_1yR43O7k5rHnHQV,Default Response Set,Anonymous,,,70.39.177.68,0,2015-03-19 10:13:24,2015-03-19 10:17:42,1,1260524381,iZXUO4qzTRScUL_QAClQ7g**,27197,Qual712-0618WaterUtilities,1,,258,18945681419233,1,1,1,7,7,4,1,1,4,7,7,4,7,1,1,1,7,7,1,1,7,6,4,4,4,4,7,4,4,4,4,4,4,1
R_etk5hcryAnUFRtz,Default Response Set,Anonymous,,,104.32.55.158,0,2015-03-19 10:17:18,2015-03-19 10:21:24,1,1107055944,iZXUO4qzTRTLeZ7n6MsGTg**,27197,Qual712-0618WaterUtilities,1,,246,16639050811123,1,1,1,1,1,7,7,7,2,6,5,6,7,5,1,1,7,5,7,6,7,6,6,6,7,6,7,6,6,6,6,5,6,7
R_d5bYCNtntrrSMWF,Default Response Set,Anonymous,,,66.97.206.249,0,2015-03-19 10:21:13,2015-03-19 10:21:41,1,1126505274,iZXUO4qzTRQLEwd3fxJl1A**,27197,Qual712-0618WaterUtilities,2,noTapWater,28,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8CcmF0AvEKQo4kJ,Default Response Set,Anonymous,,,76.127.215.175,0,2015-03-19 10:17:39,2015-03-19 10:22:57,1,1240086399,iZXUO4qzTRSbbHPbA2fTPA**,27197,Qual712-0618WaterUtilities,1,,318,18638498549773,1,3,1,1,1,7,7,7,4,4,4,4,4,3,1,1,7,7,7,7,5,4,5,4,4,4,4,4,4,4,4,5,4,4
R_0oFBWBpvFDc0tKt,Default Response Set,Anonymous,,,173.9.72.202,0,2015-03-19 10:25:03,2015-03-19 10:25:38,1,1277744662,iZXUO4qzTRTWYVfzoZDRdA**,27197,Qual712-0618WaterUtilities,2,otherCity,35,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_di2GyyfQzBoETS5,Default Response Set,Anonymous,,,75.128.50.127,0,2015-03-19 10:24:25,2015-03-19 10:26:15,1,1217647482,iZXUO4qzTRTu4zwMEhnvTQ**,27197,Qual712-0618WaterUtilities,2,attention,110,,1,1,1,2,2,7,7,7,7,4,3,3,1,1,2,0,,,,,,,,,,,,,,,,,,
R_6J8GVgWTFjpCMZf,Default Response Set,Anonymous,,,71.237.114.154,0,2015-03-19 10:24:43,2015-03-19 10:26:58,1,1278618678,iZXUO4qzTRQLvdQTo1DmSA**,27197,Qual712-0618WaterUtilities,1,,135,19217638703143,1,2,1,2,4,4,4,4,1,7,4,7,7,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
